Domain,Title,arXiv_ID
Math,The thermodynamic formalism for Anosov diffeomorphisms,UNKNOWN
Math,Ratner's theorems on unipotent flows,UNKNOWN
Math,Measure rigidity for unipotent flows,UNKNOWN
Math,The Margulis lemma and its applications,UNKNOWN
Math,Kazhdan's property (T),UNKNOWN
Math,Expander graphs and their applications,UNKNOWN
Math,Ramanujan graphs and the Lubotzky-Phillips-Sarnak construction,UNKNOWN
Math,The Zig-Zag product of graphs,UNKNOWN
Math,A new proof of the PCP theorem,cs
Math,Unique Games Conjecture,UNKNOWN
