Domain,Title,arXiv_ID
CS,Equivariant Neural Networks,UNKNOWN
CS,Spherical CNNs,1801.06297
CS,Group Equivariant Convolutional Networks,1602.07576
CS,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,2003.08934
CS,Gaussian Splatting for Real-Time Radiance Field Rendering,UNKNOWN
CS,High-Resolution Image Synthesis with Latent Diffusion Models,2112.10752
CS,Sora: Video generation models as world simulators,UNKNOWN
CS,Imagen: Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,2205.11487
CS,Midjourney: Advanced text to image,UNKNOWN
CS,DALL-E 2: Hierarchical Text-Conditional Image Generation with CLIP Latents,2204.06125
