Domain,Title,arXiv_ID
Physics,Quantum Entanglement and Bell Inequalities,quant-ph
Physics,Quantum Teleportation Experiments,quant-ph
Physics,Quantum Key Distribution Algorithms,UNKNOWN
Physics,Peter Shor's Factoring Algorithm,quant-ph
Physics,Lov Grover's Search Algorithm,quant-ph
Physics,Quantum Supremacy on a Programmable Processor,1910.11333
Physics,Surface Codes for Quantum Error Correction,1208.0928
Physics,Fault-Tolerant Quantum Computation,UNKNOWN
Physics,Variational Quantum Eigensolver,1304.3061
Physics,Quantum Approximate Optimization Algorithm,1411.4028
