Domain,Title,arXiv_ID
Math,The Yau-Tian-Donaldson Conjecture,1210.7494
Math,Kaehler-Einstein metrics on Fano manifolds,1210.7494
Math,Optimal transport and Ricci curvature for metric-measure spaces,math
Math,The regularity of optimal transport maps,UNKNOWN
Math,Monge-Ampere equations and optimal transport,UNKNOWN
Math,De Giorgi conjecture for the Allen-Cahn equation,UNKNOWN
Math,A proof of the De Giorgi conjecture in dimension 8,0810.4594
Math,The fractional Laplacian and the fractional De Giorgi conjecture,UNKNOWN
Math,Weak KAM Theory,UNKNOWN
Math,Random matrices and the Riemann zeta function,math
