Domain,Title,arXiv_ID
Math,The independence of the continuum hypothesis,math
Physics,First Observation of Gravitational Waves from a Binary Black Hole Merger,1602.03837
Physics,Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC,1207.7214
Physics,Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,1207.7235
Physics,Discovery of a Superfluid Phase of 3He,cond-mat
Physics,Bose-Einstein Condensation in a Gas of Sodium Atoms,cond-mat
Physics,Anti-de Sitter Space and Holography,hep-th
Physics,The Large N Limit of Superconformal Field Theories and Supergravity,hep-th
Physics,Planck 2018 results. VI. Cosmological parameters,1807.06209
Physics,Planck 2015 results. XIII. Cosmological parameters,1502.01589
