Domain,Title,arXiv_ID
Math,Graph Minors theorems by Robertson and Seymour,UNKNOWN
Math,The Dirac-type theorems for hypergraphs,UNKNOWN
Math,Forcing and the independence of the continuum hypothesis,UNKNOWN
Math,Inner models and large cardinals,UNKNOWN
Math,Determinacy of projective sets from large cardinals,UNKNOWN
Math,A proof of the independence of the axiom of choice,UNKNOWN
Math,The modal logic of provability (Godel-Lob logic),UNKNOWN
Math,On the classification of univalent foundations (Homotopy Type Theory),UNKNOWN
Math,Univalent Foundations of Mathematics,1302.6981
Math,The constructive proof of the Four Color Theorem,UNKNOWN
