Domain,Title,arXiv_ID
Physics,F-Theory and the Landscape of String Vacua,hep-th
Physics,Statistical Approach to the String Landscape,hep-th
Physics,BICEP2 Results: Cosmological Inflation and Primordial Gravitational Waves,1403.3985
Physics,Constraints on Inflation from Planck,1807.06211
Physics,The History of the Universe from the CMB,UNKNOWN
Physics,Dark Matter Annihilation in the Galactic Center,1402.6703
Physics,LIGO-Virgo discoveries and the Dawn of Multi-Messenger Astronomy,UNKNOWN
Physics,The Event Horizon Telescope: Mapping the M87 Black Hole Magnetic Field,2103.01633
Physics,Fast Radio Bursts: Discovered and Localized,1307.1628
Physics,Detection of Water Vapor in the Atmosphere of a Habitable-Zone Exoplanet,1909.04642
