Domain,Title,arXiv_ID
Physics,Experimental Boson Sampling using integrated photonics,1212.0622
Physics,Quantum Supremacy via Boson Sampling,2012.01625
Physics,Photonic Quantum Computer for solving large linear systems,1302.1946
Physics,Quantum Algorithm for Solving Linear Systems of Equations (HHL),0811.3171
Physics,Variational Quantum Eigensolver (VQE),1304.3061
Physics,Quantum Approximate Optimization Algorithm (QAOA),1411.4028
Physics,Hardware-efficient variational quantum eigensolver,1704.05018
Physics,Demonstration of topological data analysis on a quantum processor,1408.3129
Physics,Surface Code Quantum Error Correction,1208.0928
Physics,Realizing Repeated Quantum Error Correction in a Distance-Three Surface Code,2102.06132
