Domain,Title,arXiv_ID
Physics,Confirmation of the Existence of Proxima Centauri b,UNKNOWN
Physics,The TRAPPIST-1 System: Seven Earth-Sized Planets,1703.01424
Physics,Lovelock Gravity and Higher Derivative Theories,UNKNOWN
Physics,Horava-Lifshitz Gravity,0901.3775
Physics,Massive Gravity Theory,1007.0443
Physics,Ghost-free Massive Gravity,1011.1232
Physics,Galileons and the Vainshtein Mechanism,0811.2197
Physics,DGP Braneworld Cosmology,hep-th
Physics,String Gas Cosmology,hep-th
Physics,Loop Quantum Cosmology,gr-qc
