Domain,Title,arXiv_ID
CS,Auto-Encoding Variational Bayes,1312.6114
CS,Show and Tell: A Neural Image Caption Generator,1411.4555
CS,Sequence to Sequence Learning with Neural Networks,1409.3215
CS,Neural Machine Translation by Jointly Learning to Align and Translate,1409.0473
CS,Efficient Estimation of Word Representations in Vector Space,1301.3781
CS,Distributed Representations of Words and Phrases and their Compositionality,1310.4546
CS,Very Deep Convolutional Networks for Large-Scale Image Recognition,1409.1556
CS,Going Deeper with Convolutions,1409.4842
CS,U-Net: Convolutional Networks for Biomedical Image Segmentation,1505.04597
CS,Mask R-CNN,1703.06870
