Domain,Title,arXiv_ID
Math,The Sato-Tate conjecture,math
Math,Proof of the Sato-Tate conjecture for an abelian variety,math
Math,The fundamental lemma for the Langlands program,0801.3507
Math,A geometric proof of the fundamental lemma,0801.3507
Math,The Weil conjectures,math
Math,On the cohomology of algebraic varieties,math
Math,The arithmetic of elliptic curves,math
Math,A new method for bounding the ranks of elliptic curves,math
Math,The structure of finite simple groups,math
Math,The classification of finite simple groups,math
