Domain,Title,arXiv_ID
Math,Modularity of abelian surfaces,math
Math,Fermat's Last Theorem for Amicable Numbers,1508.06456
Math,Proof of the geometric Langlands conjecture,UNKNOWN
Math,A simple proof of the fundamental theorem of algebra,math
Math,The Green-Tao Theorem on arbitrary subsets of primes,UNKNOWN
Math,The primes contain arbitrarily long polynomial progressions,math
Math,Linear equations in primes,math
Math,A solution to the Erdos similarity problem,UNKNOWN
Math,On the Erdos discrepancy problem,1509.05389
Math,An improvement of the bound for the Erdos distinct distances problem,1011.0824
