Domain,Title,arXiv_ID
Physics,First M87 Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole,1906.11238
Physics,Observation of High-Energy Astrophysical Neutrinos in Three Years of IceCube Data,1405.5300
Physics,Evidence for High-Energy Extraterrestrial Neutrinos at the IceCube Detector,1311.5238
Physics,Measurements of the Higgs boson production and decay rates,1507.04548
Physics,Search for the standard model Higgs boson,hep-ex
Physics,High-Tc Superconductivity based on correlated electrons,cond-mat
Physics,Theory of superconductivity,cond-mat
Physics,Quantum Computation with Quantum Dots,cond-mat
Physics,Polynomial-Time Algorithms for Prime Factorization and Discrete Logarithms on a Quantum Computer,quant-ph
Physics,Quantum Supremacy Using a Programmable Superconducting Processor,1910.11333
