Domain,Title,arXiv_ID
CS,Pluribus: Superhuman AI for multiplayer poker,UNKNOWN
CS,Deep Blue: Superhuman computing in Chess,UNKNOWN
CS,AlphaCode: Competition-Level Code Generation with AlphaCode,2203.07814
CS,Evaluating Large Language Models Trained on Code,2107.03374
CS,Copilot: Human-AI pair programming,UNKNOWN
CS,Solving quantitative reasoning problems with language models,2206.14858
CS,A Generalist Agent,2205.06175
CS,COCO: Common Objects in Context,1405.0312
CS,The Pascal Visual Object Classes (VOC) Challenge,UNKNOWN
CS,Llama 2: Open Foundation and Fine-Tuned Chat Models,2307.09288
