Domain,Title,arXiv_ID
Math,Uniqueness of the Brownian map,1105.4842
Math,Quantum Liouville theory and the DOZZ formula,1401.3624
Math,Gaussian Free Field and its geometry,UNKNOWN
Math,An introduction to the Gaussian Free Field,UNKNOWN
Math,The exact dimension of the Mandelbrot set boundary is 2,UNKNOWN
Math,Local connectivity of the Mandelbrot set at certain parameter values,UNKNOWN
Math,The density of hyperbolicity in one-dimensional dynamics,UNKNOWN
Math,Dynamics of the complex logistic map,UNKNOWN
Math,Renormalization in complex dynamics,UNKNOWN
Math,Pesin's formula for expanding maps,UNKNOWN
