Domain,Title,arXiv_ID
Bio,A foundation model for generalizable disease prediction,2301.07681
Bio,Pre-training of graph neural networks for molecules,1905.12265
Bio,Self-supervised graph learning for drug discovery,UNKNOWN
Bio,Molecular graph generation via auto-regressive networks,1802.04364
Bio,Junction Tree Variational Autoencoder for Molecular Graph Generation,1802.04364
Bio,Deep drug repurposing using graph autoencoders,UNKNOWN
Bio,Translating brain activity directly into speech,UNKNOWN
Bio,Neural decoding using large language models,2305.00696
Bio,Semantic reconstruction of continuous language from brain recordings,UNKNOWN
Bio,High-performance brain-to-text communication via handwriting,UNKNOWN
