Domain,Title,arXiv_ID
Physics,Observational Evidence from Supernovae for an Accelerating Universe,astro-ph
Physics,First Observation of the Greisen-Zatsepin-Kuzmin Suppression,astro-ph
Physics,Observation of Gravitational Waves from a Binary Neutron Star Inspiral,1710.05832
Physics,Multi-messenger Observations of a Binary Neutron Star Merger,1710.05833
Bio,RoseTTAFold: Accurate prediction of protein structures and interactions,2107.05047
Bio,Cell Ranger: A scalable and robust 3` single-cell RNA-seq clustering workflow,UNKNOWN
Bio,scikit-learn: Machine Learning in Python for Bioinformatics,1201.0490
Bio,DeepBind: Predicting the sequence specificities of DNA- and RNA-binding proteins,1508.01259
Bio,DeepSEA: Predicting effects of noncoding variants with deep learning-based sequence model,1508.01259
Bio,A deep learning approach to antibiotic discovery,UNKNOWN
