Domain,Title,arXiv_ID
Physics,Test of Lepton Universality in b decays,1406.6482
Physics,Observation of a new state around 3872 MeV (X(3872)),hep-ex
Physics,The ALFA results on the total cross-section of pp collisions,UNKNOWN
Physics,Observation of the Bottomonium Ground State in Upsilon Decays,UNKNOWN
Physics,Direct limit on the speed of light from gravitational waves,1710.05834
Physics,Constraining the speed of gravity with GW170817,1710.05834
Physics,Limits on axion dark matter from ADMX,1804.05750
Physics,Results from the XENON1T Dark Matter Experiment,1805.12562
Physics,Direct detection constraints on light dark matter,UNKNOWN
Physics,Cosmic Dawn signal and the 21-cm global spectrum,1802.10094
