Domain,Title,arXiv_ID
Physics,Observation of B-mode Polarization from the SPT,1307.5830
Physics,Quantum Spin Liquids in Kagome Lattices,cond-mat
Physics,Kitaev Model and Anyons on a Torus,cond-mat
Physics,Topological Quantum Computation with Non-Abelian Anyons,quant-ph
Physics,Majorana Fermions in Condensed Matter,1206.1736
Physics,Evidence for Majorana Bound States in Nanowires,1204.2792
Physics,Observation of Weyl Fermions in a Semimetal,1502.04684
Physics,Prediction and Observation of a Type-II Weyl Semimetal,1506.06577
Physics,Twistronics and Magic-Angle Graphene,1803.02342
Physics,Superconductivity in Magic-Angle Bilayer Graphene,1803.02342
