Domain,Title,arXiv_ID
CS,Siamese Neural Networks for One-shot Image Recognition,UNKNOWN
CS,Communication-Efficient Learning of Deep Networks from Decentralized Data,1602.05629
CS,Advances and Open Problems in Federated Learning,1912.04977
CS,Differentially Private Stochastic Gradient Descent,UNKNOWN
CS,Deep Learning with Differential Privacy,1607.00133
CS,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,1610.05755
CS,Adversarial examples in the physical world,1607.02533
CS,Explaining and Harnessing Adversarial Examples,1412.6572
CS,Towards Evaluating the Robustness of Neural Networks,1608.04644
CS,DeepFool: a simple and accurate method to fool deep neural networks,1511.04599
