Domain,Title,arXiv_ID
Physics,Mott Insulator State in Magic-Angle Graphene,1803.02343
Physics,Observation of Time Crystals,1610.08057
Physics,Discrete Time Crystals: Rigidity,UNKNOWN
Physics,Quantum Many-Body Scrambling and OTOCs,1503.01409
Physics,Experimental Measurement of Out-of-Time-Ordered Correlators,1612.05249
Physics,MBL: Many-Body Localization Phase Transition,1404.0686
Physics,Thermalization and its absence in isolated quantum systems,1404.0686
Physics,Eigenstate Thermalization Hypothesis (ETH),cond-mat
Physics,Quantum Information Scrambling in Ion Traps,1806.01256
Physics,Boson Sampling with Photons,1011.3245
