Domain,Title,arXiv_ID
Physics,Boson Sampling with Linear Optics,1011.3245
Physics,Time Crystals in Quantum Systems,1610.08057
Physics,Many-Body Localization,1404.0686
Physics,The Eigenstate Thermalization Hypothesis,cond-mat
Physics,Quantum Chaos and OTOCs,1503.01409
Physics,The Sachdev-Ye-Kitaev Model,1604.07818
Physics,Fluid-Gravity Correspondence,0712.2456
Physics,Viscosity Bound in String Theory,hep-th
Physics,Quark-Gluon Plasma and the RHIC Results,UNKNOWN
Physics,CERN LHC Results on Quark-Gluon Plasma,UNKNOWN
