Domain,Title,arXiv_ID
Math,Fargues-Fontaine curve and p-adic Hodge theory,UNKNOWN
Math,Prismatic cohomology,1905.05042
Math,Motivic homotopy theory,math
Math,The slice filtration in motivic homotopy theory,UNKNOWN
Math,Equivariant stable homotopy theory,UNKNOWN
Math,The Kervaire invariant one problem,0908.3724
Physics,AdS/CFT Correspondence in lower dimensions,UNKNOWN
Physics,Black Hole Information Paradox and the Firewall,1207.3123
Physics,Holographic Entanglement Entropy,hep-th
Physics,Ryu-Takayanagi Formula and its Extension,0704.2072
