Domain,Title,arXiv_ID
Physics,High-Temperature Superconductivity in Cuprates,UNKNOWN
Physics,Iron-Based Superconductors,0804.4815
Physics,BCS Theory of Superconductivity,UNKNOWN
Physics,Majorana Fermions in Condensed Matter Physics,1206.1736
Physics,Topological Quantum Computation,quant-ph
Physics,Anyons in Fractional Quantum Hall States,UNKNOWN
Physics,Weyl Semimetals,1502.04684
Physics,Dirac Semimetals,UNKNOWN
Physics,Quantum Spin Liquids,cond-mat
Physics,The Kitaev Honeycomb Model,cond-mat
