Domain,Title,arXiv_ID
Math,The Polymath Project on Prime Gaps,1407.4890
Math,The ABC Conjecture and Inter-universal Teichmuller Theory,UNKNOWN
Math,Mochizuki's Proof of the ABC Conjecture,UNKNOWN
Math,The PCP Theorem,UNKNOWN
Math,The Unique Games Conjecture,0805.2323
Math,Ramanujan Graphs,UNKNOWN
Math,The Katz-Sarnak Philosophy for L-functions,UNKNOWN
Math,Random Matrix Theory and the Riemann Zeta Function,math
Math,The Montgomery-Odlyzko Law,UNKNOWN
Math,The Tracy-Widom Distribution,UNKNOWN
