Domain,Title,arXiv_ID
Math,On the Hodge conjecture,UNKNOWN
Math,The Navier-Stokes existence and smoothness problem,UNKNOWN
Math,Yang-Mills existence and mass gap,UNKNOWN
Math,The P versus NP problem,UNKNOWN
Math,A proof of the weak Goldbach conjecture,1305.2897
Math,Goldbach's weak conjecture for primes,1305.2897
Math,The existence of bounded gaps between primes,1305.2897
Math,Proof of the main conjecture of Iwasawa theory,math
Math,The Gross-Zagier formula,math
Math,The L-functions of elliptic curves,math
