Domain,Title,arXiv_ID
Physics,Suppression of Quantum Errors by Scaling a Surface Code Logical Qubit,2207.06431
Physics,Measurement-Device-Independent Quantum Key Distribution,1112.0525
Physics,Micius Satellite: Satellite-Based Quantum Key Distribution,1707.00542
Physics,Entanglement distribution over 1200 kilometers from a satellite,1707.01339
Physics,Observation of CP Violation in the B Meson System,hep-ex
Physics,Discovery of the pentaquark states Pc(4380)+ and Pc(4450)+,1507.03414
Physics,Observation of doubly charmed baryon Xi_cc++,1707.01621
Physics,Measurement of the anomalous magnetic moment of the muon (g-2),2104.03281
Physics,First Results from the Muon g-2 Experiment at Fermilab,2104.03281
Physics,Measurement of the W boson mass at CDF,2204.04705
