Domain,Title,arXiv_ID
Physics,Quantum Error Correction and Holography,1411.7041
Physics,Fast Scramblers and Black Holes,0808.2096
Physics,SYK Model and AdS2 Holography,1604.07818
Physics,Complexity and Action in Black Holes,1509.07876
Physics,Complexity = Volume Conjecture,1406.2678
Physics,The Replica Trick and Islands in Black Holes,1911.11977
Physics,Information content of Hawking radiation,1911.12333
Physics,Page Curve for an Evaporating Black Hole,1905.08762
Physics,Swampland Conjectures in String Theory,1805.10276
Physics,Weak Gravity Conjecture,hep-th
