Domain,Title,arXiv_ID
CS,TensorFlow: A System for Large-Scale Machine Learning,1605.08695
CS,Horovod: fast and easy distributed deep learning in TensorFlow,1802.05799
CS,Dryad: Distributed Data-Parallel Programs from Sequential Building Blocks,UNKNOWN
CS,MapReduce: Simplified Data Processing on Large Clusters,UNKNOWN
CS,Paxos Made Simple,UNKNOWN
CS,In Search of an Understandable Consensus Algorithm (Raft),UNKNOWN
CS,Bitcoin: A Peer-to-Peer Electronic Cash System,UNKNOWN
CS,Ethereum: A Secure Decentralised Generalised Transaction Ledger,UNKNOWN
CS,Zero-Knowledge Succinct Non-Interactive Argument of Knowledge (zk-SNARK),UNKNOWN
CS,Bulletproofs: Short Proofs for Confidential Transactions and More,UNKNOWN
