Domain,Title,arXiv_ID
Math,The Millennium Prize Problems,UNKNOWN
Math,A Proof of the Poincare Conjecture,math
Math,The Birch and Swinnerton-Dyer Conjecture for Elliptic Curves over Q,UNKNOWN
Math,Faltings Theorem,UNKNOWN
Math,The Mordell Conjecture,UNKNOWN
Math,Wiles' Proof of Fermat's Last Theorem,UNKNOWN
Math,The Modularity Theorem,UNKNOWN
Math,The Weil Conjectures for Abelian Varieties,UNKNOWN
Math,K-Theory and the Atiyah-Singer Index Theorem,UNKNOWN
Math,Seiberg-Witten Invariants of Four-Manifolds,UNKNOWN
