Domain,Title,arXiv_ID
Math,The resolution of the Cap Set Problem,1605.09223
Math,The Polynomial Method in Combinatorics,UNKNOWN
Math,The Kakeya Conjecture,UNKNOWN
Math,The Restriction Conjecture in Harmonic Analysis,UNKNOWN
Math,The Decoupling Theorem,1405.3567
Math,The Bochner-Riesz Conjecture,UNKNOWN
Math,The Invariant Subspace Problem,UNKNOWN
Math,The Connes Embedding Problem,UNKNOWN
Math,MIP*=RE: A resolution of the Connes Embedding Problem,2001.04383
Math,Tsirelson's Problem in Quantum Information Theory,UNKNOWN
