Domain,Title,arXiv_ID
CS,Flamingo: a Visual Language Model for Few-Shot Learning,2204.14198
CS,Segment Anything,2304.02643
CS,ControlNet: Adding Conditional Control to Text-to-Image Diffusion Models,2302.05543
Math,The entropy formula for the Ricci flow and its geometric applications,math
Math,Ricci flow with surgery on three-manifolds,math
Math,Finite extinction time for the solutions to the Ricci flow on certain three-manifolds,math
Math,The sphere packing problem in dimension 8,1603.04246
Math,The sphere packing problem in dimension 24,1603.06518
Math,On large subsets of F_q^n with no three-term arithmetic progression,1605.09223
Math,Improved bounds for the sunflower lemma,1908.09327
