Domain,Title,arXiv_ID
Physics,Graphene: Status and Prospects,0902.3208
Physics,Electric Field Effect in Atomically Thin Carbon Films,cond-mat
Physics,Room-Temperature Quantum Hall Effect in Graphene,cond-mat
Physics,Fractional Quantum Hall Effect in Graphene,0904.0934
Physics,Observation of the fractional quantum Hall effect,cond-mat
Physics,Discovery of the Muon Neutrino,hep-ex
Physics,Observation of Neutrino Oscillations,hep-ex
Physics,The Discovery of the Expanding Universe,astro-ph
Physics,Discovery of a supernova explosion at half the age of the Universe,astro-ph
Physics,Measurements of Omega and Lambda from 42 High-Redshift Supernovae,astro-ph
