Domain,Title,arXiv_ID
CS,zk-STARKs: Scalable Transparent ARguments of Knowledge,UNKNOWN
CS,Homomorphic Encryption from Learning with Errors,UNKNOWN
CS,Fully Homomorphic Encryption using Ideal Lattices,UNKNOWN
CS,Differential Privacy,UNKNOWN
CS,Secure Multi-Party Computation,UNKNOWN
CS,The PageRank Citation Ranking: Bringing Order to the Web,UNKNOWN
CS,HyperLogLog: the analysis of a near-optimal cardinality estimation algorithm,UNKNOWN
CS,Cuckoo Filter: Practically Better Than Bloom,UNKNOWN
CS,Count-Min Sketch,UNKNOWN
CS,A Fast Algorithm for Computing the Principal Components of a Large Sparse Matrix,UNKNOWN
