Domain,Title,arXiv_ID
CS,Proximal Policy Optimization Algorithms,1707.06347
CS,Asynchronous Methods for Deep Reinforcement Learning,1602.01783
CS,MuJoCo: A physics engine for model-based control,UNKNOWN
CS,Isaac Gym: High Performance GPU-Based Physics Simulation For Robot Learning,2108.10470
CS,Sim2Real View Invariant Visual Servoing by Recurrent Control,1712.07642
CS,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,1703.06907
CS,Learning Dexterous In-Hand Manipulation,1808.00177
CS,RT-1: Robotics Transformer for Real-World Control at Scale,2212.06817
CS,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2307.15818
CS,SayCan: Do As I Can,UNKNOWN
