Domain,Title,arXiv_ID
CS,AnyMAL: An Efficient and Scalable Any-Modality Augmented Language Model,2309.16058
CS,Code Llama: Open Foundation Models for Code,2308.12950
CS,StarCoder: may the source be with you!,2305.06161
CS,DeepSeek-Coder: When the Large Language Model Meets Programming -- The Rise of Code Intelligence,2401.14196
CS,WizardCoder: Empowering Code Large Language Models with Evol-Instruct,2306.08568
Math,On the classification of topological field theories,0905.0465
Math,Higher algebra,UNKNOWN
Math,Higher Topos Theory,math
Math,Derived Algebraic Geometry I: Stable Infinity Categories,math
Math,On the Cobordism Hypothesis,0905.0465
