Domain,Title,arXiv_ID
Math,Polynomial partitioning and the Erdos distinct distances problem,1011.0824
Math,A short proof of the Kakeya maximal operator conjecture,UNKNOWN
Math,The decimation-in-frequency fast Fourier transform,UNKNOWN
Math,Resolution of the ABC conjecture,UNKNOWN
Math,Inter-universal Teichmuller Theory I: Construction of Hodge Theaters,UNKNOWN
Math,Solving the Kadison-Singer Problem,1306.3969
Math,Interlacing Families II: Mixed Characteristic Polynomials and the Kadison-Singer problem,1306.3969
Math,A counterexample to the Borsuk conjecture,math
Math,The chromatic number of the plane is at least 5,1804.02385
Math,Proof of the strict inequalities for the chromatic number of graphs,UNKNOWN
