Domain,Title,arXiv_ID
Math,The formal verification of the odd order theorem,UNKNOWN
Math,Perfectoid spaces,1111.4914
Math,The weight-monodromy conjecture for complete intersections in toric varieties,1111.6385
Math,Galois representations attached to torsion classes in cohomology,1311.4128
Math,On the local Langlands conjecture for p-adic groups,1612.04018
Math,Endoscopy and the Langlands classification,UNKNOWN
Math,The Fundamental Lemma for unitary groups,0801.3507
Math,Stable trace formula and the stabilization problem,UNKNOWN
Math,The geometric representation theory of the Langlands program,UNKNOWN
Math,Categorical local Langlands correspondence,UNKNOWN
