Domain,Title,arXiv_ID
Math,The Geometrization Conjecture of Thurston,UNKNOWN
Math,Ricci Flow with Surgery on 3-Manifolds,math
Math,The Sphere Packing Problem in 8 Dimensions,1603.04246
Math,The Sphere Packing Problem in 24 Dimensions,1603.06518
Math,Universal Optimality of the Leech Lattice,UNKNOWN
Math,The Erdos-Szekeres Theorem in Combinatorial Geometry,UNKNOWN
Math,The Szemeredi Regularity Lemma,UNKNOWN
Math,Green-Tao Theorem on Primes in Arithmetic Progression,UNKNOWN
Math,The Twin Prime Conjecture,UNKNOWN
Math,Yitang Zhang's Bound on Prime Gaps,UNKNOWN
