Domain,Title,arXiv_ID
Math,Induced subgraphs of hypercubes and a proof of the Sensitivity Conjecture,1907.00847
Math,A proof of the invariant subspace problem for Banach spaces,UNKNOWN
Math,Fractional intersections of theorems and bounds,UNKNOWN
Math,On the Twin Prime Conjecture,UNKNOWN
Math,Bounded gaps between primes,UNKNOWN
Math,New bounds for the zeros of the Riemann zeta function,UNKNOWN
Math,A new proof of the existence of invariants,UNKNOWN
Math,The resolution of singularity for algebraic varieties over fields of characteristic zero,math
Math,On the local Langlands conjecture for GL(n) over a p-adic local field,math
Math,The modularity of elliptic curves over Q,math
