Domain,Title,arXiv_ID
CS,DALL-E 3: Improving Image Generation with Better Captions,UNKNOWN
CS,InstructPix2Pix: Learning to Follow Image Editing Instructions,2211.09800
CS,Consistency Models,2303.01469
CS,DreamFusion: Text-to-3D using 2D Diffusion,2209.14988
CS,Zero-shot Translation with Multilingual Neural Machine Translation,1611.04558
CS,Whisper: Robust Speech Recognition via Large-Scale Weak Supervision,2212.04356
CS,SeamlessM4T: Massively Multilingual & Multimodal Machine Translation,2308.11596
CS,AudioLM: a Language Modeling Approach to Audio Generation,2209.03143
CS,MusicLM: Generating Music From Text,2301.11325
CS,Neural Codec Language Models are Zero-Shot Text to Speech Synthesizers,2301.02111
