Domain,Title,arXiv_ID
CS,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2201.11903
CS,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2203.11171
CS,ReAct: Synergizing Reasoning and Acting in Language Models,2210.03629
CS,AutoGPT: Autonomous Agents for Language Models,UNKNOWN
CS,Generative Agents: Interactive Simulacra of Human Behavior,2304.03442
CS,Voyager: An Open-Ended Embodied Agent with Large Language Models,2305.16291
CS,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2305.10601
CS,Sparks of Artificial General Intelligence: Early experiments with GPT-4,2303.12712
CS,Constitutional AI: Harmlessness from AI Feedback,2212.08073
CS,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,2305.06500
