Domain,Title,Link
Math,Fargues-Fontaine curve and p-adic Hodge theory,https://arxiv.org/search/?query=Fargues-Fontaine+curve&searchtype=title
Math,Prismatic cohomology,https://arxiv.org/abs/1905.05042
Math,Motivic homotopy theory,https://arxiv.org/abs/math/9802042
Math,The slice filtration in motivic homotopy theory,https://arxiv.org/search/?query=slice+filtration+in+motivic+homotopy+theory&searchtype=title
Math,Equivariant stable homotopy theory,https://arxiv.org/search/?query=Equivariant+stable+homotopy+theory&searchtype=title
Math,The Kervaire invariant one problem,https://arxiv.org/abs/0908.3724
Physics,AdS/CFT Correspondence in lower dimensions,https://arxiv.org/search/?query=AdS/CFT+Correspondence+in+lower+dimensions&searchtype=title
Physics,Black Hole Information Paradox and the Firewall,https://arxiv.org/abs/1207.3123
Physics,Holographic Entanglement Entropy,https://arxiv.org/abs/hep-th/0603001
Physics,Ryu-Takayanagi Formula and its Extension,https://arxiv.org/abs/0704.2072
