Domain,Title,Link
Physics,Graphene: Status and Prospects,https://arxiv.org/abs/0902.3208
Physics,Electric Field Effect in Atomically Thin Carbon Films,https://arxiv.org/abs/cond-mat/0410550
Physics,Room-Temperature Quantum Hall Effect in Graphene,https://arxiv.org/abs/cond-mat/0702595
Physics,Fractional Quantum Hall Effect in Graphene,https://arxiv.org/abs/0904.0934
Physics,Observation of the fractional quantum Hall effect,https://arxiv.org/abs/cond-mat/9804044
Physics,Discovery of the Muon Neutrino,https://arxiv.org/abs/hep-ex/0104032
Physics,Observation of Neutrino Oscillations,https://arxiv.org/abs/hep-ex/9807003
Physics,The Discovery of the Expanding Universe,https://arxiv.org/abs/astro-ph/9904051
Physics,Discovery of a supernova explosion at half the age of the Universe,https://arxiv.org/abs/astro-ph/9805201
Physics,Measurements of Omega and Lambda from 42 High-Redshift Supernovae,https://arxiv.org/abs/astro-ph/9812133
