Domain,Title,Link
Physics,Test of Lepton Universality in b decays,https://arxiv.org/abs/1406.6482
Physics,Observation of a new state around 3872 MeV (X(3872)),https://arxiv.org/abs/hep-ex/0309032
Physics,The ALFA results on the total cross-section of pp collisions,https://arxiv.org/search/?query=ALFA+results+cross-section+pp+collisions&searchtype=title
Physics,Observation of the Bottomonium Ground State in Upsilon Decays,https://arxiv.org/search/?query=Bottomonium+Ground+State+Upsilon+Decays&searchtype=title
Physics,Direct limit on the speed of light from gravitational waves,https://arxiv.org/abs/1710.05834
Physics,Constraining the speed of gravity with GW170817,https://arxiv.org/abs/1710.05834
Physics,Limits on axion dark matter from ADMX,https://arxiv.org/abs/1804.05750
Physics,Results from the XENON1T Dark Matter Experiment,https://arxiv.org/abs/1805.12562
Physics,Direct detection constraints on light dark matter,https://arxiv.org/search/?query=Direct+detection+constraints+on+light+dark+matter&searchtype=title
Physics,Cosmic Dawn signal and the 21-cm global spectrum,https://arxiv.org/abs/1802.10094
