Domain,Title,Link
Bio,A foundation model for generalizable disease prediction,https://arxiv.org/abs/2301.07681
Bio,Pre-training of graph neural networks for molecules,https://arxiv.org/abs/1905.12265
Bio,Self-supervised graph learning for drug discovery,https://arxiv.org/search/?query=Self-supervised+graph+learning+for+drug+discovery&searchtype=title
Bio,Molecular graph generation via auto-regressive networks,https://arxiv.org/abs/1802.04364
Bio,Junction Tree Variational Autoencoder for Molecular Graph Generation,https://arxiv.org/abs/1802.04364
Bio,Deep drug repurposing using graph autoencoders,https://arxiv.org/search/?query=Deep+drug+repurposing+graph+autoencoders&searchtype=title
Bio,Translating brain activity directly into speech,https://arxiv.org/search/?query=Translating+brain+activity+into+speech&searchtype=title
Bio,Neural decoding using large language models,https://arxiv.org/abs/2305.00696
Bio,Semantic reconstruction of continuous language from brain recordings,https://arxiv.org/search/?query=Semantic+reconstruction+continuous+language+from+brain+recordings&searchtype=title
Bio,High-performance brain-to-text communication via handwriting,https://arxiv.org/search/?query=High-performance+brain-to-text+communication+via+handwriting&searchtype=title
