Domain,Title,Link
CS,Siamese Neural Networks for One-shot Image Recognition,https://arxiv.org/search/?query=Siamese+Neural+Networks+for+One-shot&searchtype=title
CS,Federated Learning: Communication-Efficient Learning of Deep Networks from Decentralized Data,https://arxiv.org/abs/1602.05629
CS,Advances and Open Problems in Federated Learning,https://arxiv.org/abs/1912.04977
CS,Differentially Private Stochastic Gradient Descent,https://arxiv.org/search/?query=Deep+Learning+with+Differential+Privacy&searchtype=title
CS,Deep Learning with Differential Privacy,https://arxiv.org/abs/1607.00133
CS,PATE: Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,https://arxiv.org/abs/1610.05755
CS,Adversarial Examples in the Physical World,https://arxiv.org/abs/1607.02533
CS,Explaining and Harnessing Adversarial Examples,https://arxiv.org/abs/1412.6572
CS,Towards Evaluating the Robustness of Neural Networks,https://arxiv.org/abs/1608.04644
CS,DeepFool: a simple and accurate method to fool deep neural networks,https://arxiv.org/abs/1511.04599
