Domain,Title,Link
CS,Pluribus: Superhuman AI for multiplayer poker,https://arxiv.org/search/?query=Pluribus+Superhuman+AI+for+multiplayer+poker&searchtype=title
CS,Deep Blue: Superhuman computing in Chess,https://arxiv.org/search/?query=Deep+Blue+chess&searchtype=title
CS,AlphaCode: Competition-Level Code Generation with AlphaCode,https://arxiv.org/abs/2203.07814
CS,OpenAI Codex,https://arxiv.org/abs/2107.03374
CS,Copilot: Human-AI pair programming,https://arxiv.org/search/?query=Human-AI+pair+programming&searchtype=title
CS,Solving quantitative reasoning problems with language models,https://arxiv.org/abs/2206.14858
CS,Gato: A Generalist Agent,https://arxiv.org/abs/2205.06175
CS,COCO: Common Objects in Context,https://arxiv.org/abs/1405.0312
CS,The Pascal Visual Object Classes (VOC) Challenge,https://arxiv.org/search/?query=Pascal+Visual+Object+Classes&searchtype=title
CS,Llama 2: Open Foundation and Fine-Tuned Chat Models,https://arxiv.org/abs/2307.09288
