Domain,Title,Link
Math,The resolution of the Cap Set Problem,https://arxiv.org/abs/1605.09223
Math,The Polynomial Method in Combinatorics,https://arxiv.org/search/?query=The+Polynomial+Method+in+Combinatorics&searchtype=title
Math,The Kakeya Conjecture,https://arxiv.org/search/?query=The+Kakeya+Conjecture&searchtype=title
Math,The Restriction Conjecture in Harmonic Analysis,https://arxiv.org/search/?query=Restriction+Conjecture+Harmonic+Analysis&searchtype=title
Math,The Decoupling Theorem,https://arxiv.org/abs/1405.3567
Math,The Bochner-Riesz Conjecture,https://arxiv.org/search/?query=The+Bochner-Riesz+Conjecture&searchtype=title
Math,The Invariant Subspace Problem,https://arxiv.org/search/?query=The+Invariant+Subspace+Problem&searchtype=title
Math,The Connes Embedding Problem,https://arxiv.org/search/?query=The+Connes+Embedding+Problem&searchtype=title
Math,MIP*=RE: A resolution of the Connes Embedding Problem,https://arxiv.org/abs/2001.04383
Math,Tsirelson's Problem in Quantum Information Theory,https://arxiv.org/search/?query=Tsirelson+Problem+Quantum+Information+Theory&searchtype=title
