Domain,Title,Link
Bio,AlphaFold accelerates structural biology research,https://arxiv.org/abs/2202.13414
Bio,Machine learning prediction of antimicrobial resistance,https://arxiv.org/search/?query=Machine+learning+prediction+of+antimicrobial+resistance&searchtype=title
Bio,Deep sequence clustering reveals novel protein families,https://arxiv.org/search/?query=Deep+sequence+clustering+reveals+novel+protein+families&searchtype=title
Bio,Using deep networks to decode protein interaction rules,https://arxiv.org/search/?query=Using+deep+networks+to+decode+protein+interaction+rules&searchtype=title
Bio,Deep learning characterizes viral evolution architectures,https://arxiv.org/search/?query=Deep+learning+characterizes+viral+evolution+architectures&searchtype=title
Bio,Language models escape viral immune systems,https://arxiv.org/abs/2103.01138
CS,ResNet-152: Deep Residual Learning,https://arxiv.org/abs/1512.03385
CS,ResNet-50: Deep Residual Learning,https://arxiv.org/abs/1512.03385
CS,Scaling Laws for Neural Language Models,https://arxiv.org/abs/2001.08361
CS,Generative Agents Architecture,https://arxiv.org/abs/2304.03442
