Domain,Title,Link
Math,The Millennium Prize Problems,https://arxiv.org/search/?query=The+Millennium+Prize+Problems&searchtype=title
Math,A Proof of the Poincare Conjecture,https://arxiv.org/abs/math/0307245
Math,The Birch and Swinnerton-Dyer Conjecture for Elliptic Curves over Q,https://arxiv.org/search/?query=The+Birch+and+Swinnerton-Dyer+Conjecture+for+Elliptic+Curves+over+Q&searchtype=title
Math,Faltings Theorem,https://arxiv.org/search/?query=Faltings+Theorem&searchtype=title
Math,The Mordell Conjecture,https://arxiv.org/search/?query=The+Mordell+Conjecture&searchtype=title
Math,Wiles' Proof of Fermat's Last Theorem,https://arxiv.org/search/?query=Proof+of+Fermat+Last+Theorem&searchtype=title
Math,The Modularity Theorem,https://arxiv.org/search/?query=The+Modularity+Theorem&searchtype=title
Math,The Weil Conjectures for Abelian Varieties,https://arxiv.org/search/?query=The+Weil+Conjectures+for+Abelian+Varieties&searchtype=title
Math,K-Theory and the Atiyah-Singer Index Theorem,https://arxiv.org/search/?query=K-Theory+and+the+Atiyah-Singer+Index+Theorem&searchtype=title
Math,Seiberg-Witten Invariants of Four-Manifolds,https://arxiv.org/search/?query=Seiberg-Witten+Invariants+of+Four-Manifolds&searchtype=title
