Domain,Title,Link
Physics,Quantum Entanglement and Bell Inequalities,https://arxiv.org/abs/quant-ph/0402001
Physics,Quantum Teleportation Experiments,https://arxiv.org/abs/quant-ph/9702052
Physics,Quantum Key Distribution Algorithms,https://arxiv.org/search/?query=Quantum+Key+Distribution+Algorithms&searchtype=title
Physics,Peter Shor's Factoring Algorithm,https://arxiv.org/abs/quant-ph/9508027
Physics,Lov Grover's Search Algorithm,https://arxiv.org/abs/quant-ph/9605043
Physics,Quantum Supremacy on a Programmable Processor,https://arxiv.org/abs/1910.11333
Physics,Surface Codes for Quantum Error Correction,https://arxiv.org/abs/1208.0928
Physics,Fault-Tolerant Quantum Computation,https://arxiv.org/search/?query=Fault-Tolerant+Quantum+Computation&searchtype=title
Physics,Variational Quantum Eigensolver,https://arxiv.org/abs/1304.3061
Physics,Quantum Approximate Optimization Algorithm,https://arxiv.org/abs/1411.4028
