Domain,Title,Link
CS,AnyMAL: An Efficient and Scalable Any-Modality Augmented Language Model,https://arxiv.org/abs/2309.16058
CS,Code Llama: Open Foundation Models for Code,https://arxiv.org/abs/2308.12950
CS,StarCoder: may the source be with you!,https://arxiv.org/abs/2305.06161
CS,DeepSeek-Coder: When the Large Language Model Meets Programming -- The Rise of Code Intelligence,https://arxiv.org/abs/2401.14196
CS,WizardCoder: Empowering Code Large Language Models with Evol-Instruct,https://arxiv.org/abs/2306.08568
Math,On the classification of topological field theories,https://arxiv.org/abs/0905.0465
Math,Higher algebra,https://arxiv.org/search/?query=Higher+algebra+lurie&searchtype=title
Math,Higher Topos Theory,https://arxiv.org/abs/math/0608040
Math,Derived Algebraic Geometry I: Stable Infinity Categories,https://arxiv.org/abs/math/0608228
Math,On the Cobordism Hypothesis,https://arxiv.org/abs/0905.0465
