Domain,Title,Link
CS,zk-STARKs: Scalable Transparent ARguments of Knowledge,https://arxiv.org/search/?query=zk-STARKs&searchtype=title
CS,Homomorphic Encryption from Learning with Errors,https://arxiv.org/search/?query=Homomorphic+Encryption+from+Learning+with+Errors&searchtype=title
CS,Fully Homomorphic Encryption using Ideal Lattices,https://arxiv.org/search/?query=Fully+Homomorphic+Encryption+using+Ideal+Lattices&searchtype=title
CS,Differential Privacy,https://arxiv.org/search/?query=Differential+Privacy&searchtype=title
CS,Secure Multi-Party Computation,https://arxiv.org/search/?query=Secure+Multi-Party+Computation&searchtype=title
CS,The PageRank Citation Ranking: Bringing Order to the Web,https://arxiv.org/search/?query=PageRank+Citation+Ranking&searchtype=title
CS,HyperLogLog: the analysis of a near-optimal cardinality estimation algorithm,https://arxiv.org/search/?query=HyperLogLog&searchtype=title
CS,Cuckoo Filter: Practically Better Than Bloom,https://arxiv.org/search/?query=Cuckoo+Filter&searchtype=title
CS,Count-Min Sketch,https://arxiv.org/search/?query=Count-Min+Sketch&searchtype=title
CS,A Fast Algorithm for Computing the Principal Components of a Large Sparse Matrix,https://arxiv.org/search/?query=Fast+Algorithm+Computing+Principal+Components+Large+Sparse+Matrix&searchtype=title
